#,,base:cevent_speech_anaphora-referent,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1208,12,273.46,276.16,3,1,14,0.44306,0.38206,0.59917,0.51667,44.368,44.368,0.29813,0.35679,0.80633,0.4825,22.184,44.368
1208,12,277.99,279.9,8,1,15,1,0,1.9058,0,31.483,0,1,0,1.9058,0,31.483,0
1208,12,290.04,290.94,9,1,16,0.063087,0.37117,0.056657,0.33333,66.81,66.81,0.95388,0,0.85666,0,66.81,0
1208,12,291.89,293.2,9,1,17,0.59142,0,0.386,0,91.93,0,0,0.73828,0,0.48185,0,91.93
1208,12,301.96,304.38,18,1,18,0.54159,0.33432,1.3093,0.80821,24.819,24.819,0.1137,0,0.27487,0,24.819,0
1208,12,306.55,309.29,18,1,19,0.90492,0,2.4853,0,21.847,0,0.34662,0.097096,0.47599,0.26667,43.693,21.847
1208,12,313.76,314.86,4,1,20,0,1,0,1.0913,0,54.982,1,0,1.0913,0,54.982,0
1208,12,323.64,325.22,20,1,21,1,0,1.5821,0,37.925,0,1,0,1.5821,0,37.925,0
1208,12,328.76,330.07,20,1,22,0,0.64392,0,0.42195,0,91.564,0,0.99464,0,1.3035,0,45.782
1208,12,345.73,347.05,19,1,23,0,0.97536,0,1.2834,0,45.6,0,0.17733,0,0.23333,0,45.6
1208,12,348.17,352.46,19,1,24,0.60561,0.10096,1.2996,0.43333,27.959,13.98,0.32449,0.15516,0.69634,0.33297,27.959,27.959
1208,12,348.17,352.46,19,1,25,0.60561,0.10096,1.2996,0.43333,27.959,13.98,0.32449,0.15516,0.69634,0.33297,27.959,27.959
1208,12,357.27,360.33,19,1,26,0.28325,0.32455,0.86667,0.49652,19.61,39.219,0,0.07626,0,0.23333,0,19.61
1208,12,378.55,381.08,10,1,27,1,0,2.5376,0,23.645,0,1,0,2.5376,0,23.645,0
1208,12,378.55,381.08,10,1,28,1,0,2.5376,0,23.645,0,1,0,2.5376,0,23.645,0
1208,12,382.26,382.88,10,1,29,0,0.8404,0,0.26328,0,191.52,0,0.3471,0,0.21748,0,95.761
1208,12,433.77,434.72,11,1,30,0,0.3107,0,0.29525,0,63.139,0.97716,0,0.92858,0,63.139,0
1208,12,436.41,437.08,11,1,31,1,0,0.66833,0,89.776,0,0,1,0,0.66833,0,89.776
1208,12,447.06,447.82,17,1,32,1,0,0.76232,0,78.707,0,0.31516,0.30608,0.24025,0.23333,78.707,78.707
1208,12,451.06,453.65,17,1,33,0,0.71626,0,0.92562,0,46.429,0.19429,0.77992,0.50214,2.0158,23.215,23.215
1208,12,457.37,458.64,10,1,34,1,0,1.2688,0,47.289,0,0.97375,0,1.2355,0,47.289,0
1208,12,485.03,485.97,16,1,35,1,0,0.93984,0,63.84,0,0,0.96035,0,0.90257,0,63.84
1208,12,511.29,513.16,20,1,36,0.51466,0,0.96203,0,32.099,0,0,1,0,1.8692,0,32.099
1209,12,100.39,101.78,15,1,1,0,0.1507,0,0.21009,0,43.039,0,0.71308,0,0.33137,0,129.12
1209,12,112.07,115.07,26,1,2,0,1,0,2.9954,0,20.031,0,0.71185,0,0.71076,0,60.092
1209,12,125.6,126.22,4,1,3,1,0,0.62169,0,96.511,0,1,0,0.62169,0,96.511,0
1209,12,137.45,137.87,6,1,4,0,0,0,0,0,0,0.58913,0.17121,0.24582,0.071438,143.8,143.8
1209,12,139.84,142.14,26,1,5,0,0.27837,0,0.31942,0,52.29,0,0.53281,0,0.61137,0,52.29
1209,12,169.66,171.22,14,1,6,0,0.82957,0,0.64902,0,76.691,0,1,0,1.5647,0,38.346
1209,12,171.82,172.56,14,1,7,0,1,0,0.73968,0,81.116,0,0.96311,0,0.7124,0,81.116
1209,12,231.59,233.06,14,1,8,1,0,1.4699,0,40.82,0,1,0,1.4699,0,40.82,0
1210,12,36.998,38.353,26,1,1,0,0,0,0,0,0,0,0.83805,0,1.135,0,44.302
1210,12,42.311,44.617,2,1,2,0.68906,0,1.5895,0,26.011,0,0,0.9711,0,0.74668,0,78.034
